Date,Open Price,Close Price,High Price,Low Price,Volume
01-Jun-2020,6076.60,6166.42,6179.34,6076.60,733421120
02-Jun-2020,6166.42,6220.14,6238.25,6165.05,1167966336
03-Jun-2020,6220.14,6382.41,6394.70,6220.14,1193777408
04-Jun-2020,6382.41,6341.44,6402.57,6314.59,1031505792
05-Jun-2020,6341.44,6484.30,6489.99,6341.44,1391506176
08-Jun-2020,6484.30,6472.59,6511.84,6423.06,1285491712
09-Jun-2020,6472.59,6335.72,6475.01,6325.07,1222015104
10-Jun-2020,6335.72,6329.13,6387.35,6293.83,1040511424
11-Jun-2020,6329.13,6076.70,6329.13,6076.70,1108783872
12-Jun-2020,6076.70,6105.18,6184.29,5993.20,1053212928
15-Jun-2020,6105.18,6064.70,6105.18,5952.44,828541888
16-Jun-2020,6064.70,6242.79,6299.02,6064.70,1023935872
17-Jun-2020,6242.79,6253.25,6309.74,6233.24,857823040
18-Jun-2020,6253.25,6224.07,6284.96,6184.88,776721216
19-Jun-2020,6224.07,6292.60,6319.81,6224.07,1668162304
22-Jun-2020,6292.60,6244.62,6309.04,6225.53,712751488
23-Jun-2020,6244.62,6320.12,6342.19,6244.62,669064960
24-Jun-2020,6320.12,6123.69,6320.12,6123.69,699253888
25-Jun-2020,6123.69,6147.14,6162.44,6029.25,748002496
26-Jun-2020,6147.14,6159.30,6262.13,6147.14,678514176
29-Jun-2020,6159.30,6225.77,6251.96,6122.95,715302336
30-Jun-2020,6225.77,6169.74,6237.51,6146.98,820843264
01-Jul-2020,6169.74,6157.96,6201.95,6084.48,671858112
02-Jul-2020,6157.96,6240.36,6258.60,6157.96,781700800
03-Jul-2020,6240.36,6157.30,6262.71,6137.09,492218880
06-Jul-2020,6157.30,6285.94,6304.19,6157.30,683831872
07-Jul-2020,6285.94,6189.90,6285.94,6179.97,587041408
08-Jul-2020,6189.90,6156.16,6208.43,6144.52,617571072
09-Jul-2020,6156.16,6049.62,6176.84,6040.26,654784768
10-Jul-2020,6049.62,6095.41,6108.20,6003.19,676613760
13-Jul-2020,6095.41,6176.19,6187.33,6095.41,559144832
14-Jul-2020,6176.19,6179.75,6179.75,6093.23,711478784
15-Jul-2020,6179.75,6292.65,6323.55,6179.75,741933120
16-Jul-2020,6292.65,6250.69,6296.78,6227.33,516751872
17-Jul-2020,6250.69,6290.30,6293.68,6230.01,683853056
20-Jul-2020,6290.30,6261.52,6297.64,6222.15,461608608
21-Jul-2020,6261.52,6269.73,6315.68,6253.90,730008576
22-Jul-2020,6269.73,6207.10,6270.96,6197.45,738647040
23-Jul-2020,6207.10,6211.44,6273.63,6202.90,529659808
24-Jul-2020,6211.44,6123.82,6211.44,6099.06,670960640
27-Jul-2020,6123.82,6104.88,6127.62,6086.64,626509312
28-Jul-2020,6104.88,6129.26,6149.86,6083.65,593037120
29-Jul-2020,6129.26,6131.46,6155.06,6116.72,688774400
30-Jul-2020,6131.46,5989.99,6145.83,5924.70,1218669312
31-Jul-2020,5989.99,5897.76,6046.33,5897.76,991398784
03-Aug-2020,5897.76,6032.85,6038.76,5857.06,917974464
04-Aug-2020,6032.85,6036.00,6056.47,5986.77,747633856
05-Aug-2020,6036.00,6104.72,6111.50,6036.00,680737984
06-Aug-2020,6104.72,6026.94,6104.72,5980.44,602954112
07-Aug-2020,6026.94,6032.18,6046.02,5996.73,535097024
10-Aug-2020,6032.18,6050.59,6099.48,6028.49,555797440
11-Aug-2020,6050.59,6154.34,6206.00,6050.59,718083520
12-Aug-2020,6154.34,6280.12,6297.20,6151.64,667024640
13-Aug-2020,6280.12,6185.62,6280.12,6185.62,501759072
14-Aug-2020,6185.62,6090.04,6185.62,6036.13,509213920
17-Aug-2020,6090.04,6127.44,6140.19,6061.46,486689344
18-Aug-2020,6127.44,6076.62,6162.66,6062.58,484908416
19-Aug-2020,6076.62,6111.98,6114.83,6045.00,412412416
20-Aug-2020,6111.98,6013.34,6111.98,6009.61,469769280
21-Aug-2020,6013.34,6001.89,6036.51,5948.80,499403264
24-Aug-2020,6001.89,6104.73,6119.80,6001.89,433611392
25-Aug-2020,6104.73,6037.01,6173.48,6032.10,523788160
26-Aug-2020,6037.01,6045.60,6050.81,5992.22,395620608
27-Aug-2020,6045.60,5999.99,6062.52,5999.99,486191936
