,Country,Date,Gold Price per tr oz
643,China,2019-01-24,8721.1
644,China,2019-01-25,8751.3
645,China,2019-01-26,8751.3
646,China,2019-01-27,8751.3
647,China,2019-01-28,8775.1
648,China,2019-01-29,8801.1
649,China,2019-01-30,8800.0
650,China,2019-01-31,8873.1
651,China,2019-02-01,8882.8
652,China,2019-02-02,8882.8
653,China,2019-02-03,8882.8
654,China,2019-02-04,8838.6
655,China,2019-02-05,8852.5
656,China,2019-02-06,8840.3
657,China,2019-02-07,8824.2
658,China,2019-02-08,8856.8
659,China,2019-02-09,8856.8
660,China,2019-02-10,8856.8
661,China,2019-02-11,8857.9
662,China,2019-02-12,8880.2
663,China,2019-02-13,8874.0
664,China,2019-02-14,8880.0
665,China,2019-02-15,8927.1
666,China,2019-02-16,8927.1
667,China,2019-02-17,8927.1
668,China,2019-02-18,8969.8
669,China,2019-02-19,9028.9
670,China,2019-02-20,9035.9
671,China,2019-02-21,8934.0
672,China,2019-02-22,8929.4
673,China,2019-02-23,8929.4
674,China,2019-02-24,8929.4
675,China,2019-02-25,8909.9
676,China,2019-02-26,8872.0
677,China,2019-02-27,8841.3
678,China,2019-02-28,8820.1
679,China,2019-03-01,8800.3
680,China,2019-03-02,8800.3
681,China,2019-03-03,8800.3
682,China,2019-03-04,8610.6
683,China,2019-03-05,8606.5
684,China,2019-03-06,8629.3
685,China,2019-03-07,8620.6
686,China,2019-03-08,8722.6
687,China,2019-03-09,8722.6
688,China,2019-03-10,8722.6
689,China,2019-03-11,8694.7
690,China,2019-03-12,8705.0
691,China,2019-03-13,8768.6
692,China,2019-03-14,8702.2
693,China,2019-03-15,8749.7
694,China,2019-03-16,8749.7
695,China,2019-03-17,8749.7
696,China,2019-03-18,8763.6
697,China,2019-03-19,8781.3
698,China,2019-03-20,8733.8
699,China,2019-03-21,8758.7
700,China,2019-03-22,8793.6
701,China,2019-03-23,8793.6
702,China,2019-03-24,8793.6
703,China,2019-03-25,8856.6
704,China,2019-03-26,8836.2
705,China,2019-03-27,8803.2
706,China,2019-03-28,8715.1
707,China,2019-03-29,8705.4
708,China,2019-03-30,8705.4
709,China,2019-03-31,8705.4
710,China,2019-04-01,8680.3
711,China,2019-04-02,8672.8
712,China,2019-04-03,8656.6
713,China,2019-04-04,8620.8
714,China,2019-04-05,8656.5
715,China,2019-04-06,8656.5
716,China,2019-04-07,8656.5
717,China,2019-04-08,8736.4
718,China,2019-04-09,8746.4
719,China,2019-04-10,8769.0
720,China,2019-04-11,8723.7
721,China,2019-04-12,8690.6
722,China,2019-04-13,8690.6
723,China,2019-04-14,8690.6
724,China,2019-04-15,8621.6
725,China,2019-04-16,8561.0
726,China,2019-04-17,8531.2
727,China,2019-04-18,8553.6
728,China,2019-04-19,8553.6
729,China,2019-04-20,8553.6
730,China,2019-04-21,8553.6
731,China,2019-04-22,8563.4
732,China,2019-04-23,8530.0
733,China,2019-04-24,8542.3
734,China,2019-04-25,8635.4
735,China,2019-04-26,8653.1
736,China,2019-04-27,8653.1
737,China,2019-04-28,8653.1
738,China,2019-04-29,8616.9
739,China,2019-04-30,8638.6
740,China,2019-05-01,8648.7
741,China,2019-05-02,8562.1
742,China,2019-05-03,8613.3
743,China,2019-05-04,8613.3
744,China,2019-05-05,8613.3
745,China,2019-05-06,8650.5
746,China,2019-05-07,8661.3
747,China,2019-05-08,8702.3
748,China,2019-05-09,8773.3
749,China,2019-05-10,8767.5
750,China,2019-05-11,8767.5
751,China,2019-05-12,8767.5
752,China,2019-05-13,8903.5
753,China,2019-05-14,8940.3
754,China,2019-05-15,8927.7
755,China,2019-05-16,8889.6
756,China,2019-05-17,8854.8
757,China,2019-05-18,8854.8
758,China,2019-05-19,8854.8
759,China,2019-05-20,8828.5
760,China,2019-05-21,8792.0
761,China,2019-05-22,8793.7
762,China,2019-05-23,8880.9
763,China,2019-05-24,8855.7
764,China,2019-05-25,8855.7
765,China,2019-05-26,8855.7
766,China,2019-05-27,8845.0
767,China,2019-05-28,8836.9
768,China,2019-05-29,8856.1
769,China,2019-05-30,8844.7
770,China,2019-05-31,8943.2
771,China,2019-06-01,8943.2
772,China,2019-06-02,8943.2
773,China,2019-06-03,9100.6
774,China,2019-06-04,9153.9
775,China,2019-06-05,9223.6
776,China,2019-06-06,9236.9
777,China,2019-06-07,9272.5
778,China,2019-06-08,9272.5
779,China,2019-06-09,9272.5
780,China,2019-06-10,9210.8
781,China,2019-06-11,9155.8
782,China,2019-06-12,9215.7
783,China,2019-06-13,9247.6
784,China,2019-06-14,9355.5
785,China,2019-06-15,9355.5
786,China,2019-06-16,9355.5
787,China,2019-06-17,9288.5
